Titel	Re­gister­typ	Re­gister	Divi­sions­faktor	Ein­heit	Vari­ablen­größe	Mindest­wert	Höchst­wert	Stan­dard­wert	
Max. Verdichterdrehzahl (EB100)	MODBUS_INPUT_REGISTER	939	10	Hz	u16	0	0	0
Min. Verdichterdrehzahl (EB100)	MODBUS_INPUT_REGISTER	940	10	Hz	u16	0	0	0
Erzeugte Leistung Wärme (EB100)	MODBUS_INPUT_REGISTER	941	10	kW	u16	0	0	0
Zeit bis Enteisung (EB100)	MODBUS_INPUT_REGISTER	942	1	min	u16	0	0	0
Enteisung Index (EB100)	MODBUS_INPUT_REGISTER	943	1		u16	0	0	0
Überhitzung Referenz (EEV)(EB100)	MODBUS_INPUT_REGISTER	944	10	°C	s16	0	0	0
Überhitzung EEV (EB100)	MODBUS_INPUT_REGISTER	945	10	°C	s16	0	0	0
EEV-ssh-error EB100)	MODBUS_INPUT_REGISTER	946	10	°C	s16	0	0	0
Überhitzung Temp. Referenz (EEV)(EB100)	MODBUS_INPUT_REGISTER	947	10	°C	s16	0	0	0
Sollwert EEV (EB100)	MODBUS_INPUT_REGISTER	948	10	°C	s16	0	0	0
EEV PV (EB100)	MODBUS_INPUT_REGISTER	949	10	°C	s16	0	0	0
EEV-te-error durchschnittl. geöffnet (EB100)	MODBUS_INPUT_REGISTER	950	10	°C	s16	0	0	0
Öffnungsgrad EEV (EB100)	MODBUS_INPUT_REGISTER	951	1		u16	0	0	0
Überhitzung Referenz EVI (EB100)	MODBUS_INPUT_REGISTER	952	10	°C	s16	0	0	0
Überhitzung EVI (EB100)	MODBUS_INPUT_REGISTER	953	10	°C	s16	0	0	0
EEV-ssh-error (EVI)(EB100)	MODBUS_INPUT_REGISTER	954	10	°C	s16	0	0	0
Überhitzung Temp. Referenz (EVI)(EB100)	MODBUS_INPUT_REGISTER	955	10	°C	s16	0	0	0
Sollwert EVI (EB100)	MODBUS_INPUT_REGISTER	956	10	°C	s16	0	0	0
EVI PV (EB100)	MODBUS_INPUT_REGISTER	957	10	°C	s16	0	0	0
EEV-te-error durchschnittl. geöffnet (EVI)(EB100)	MODBUS_INPUT_REGISTER	958	10	°C	s16	0	0	0
Öffnungsgrad EVI EB100)	MODBUS_INPUT_REGISTER	959	1		u16	0	0	0
Windgeschwindigkeit, Wetterprognose	MODBUS_INPUT_REGISTER	960	10		u16	0	0	0
Luftfeuchtigkeit, Wetterprognose	MODBUS_INPUT_REGISTER	961	10	%	u16	0	0	0
Temperatur, Wetterprognose	MODBUS_INPUT_REGISTER	962	10	°C	s16	0	0	0
Temperatur, Wetterdaten (Prognose)	MODBUS_INPUT_REGISTER	963	10	°C	s16	0	0	0
Smart energy source, Vorrang ausgewählt in Brauchwasser	MODBUS_INPUT_REGISTER	991	1		u8	0	0	0
Außenluftwärmepumpe Inverter, Grenzen	MODBUS_INPUT_REGISTER	992	1		u8	0	0	0
Außenluftwärmepumpe Inverter, Geschwindigkeit nimmt ab	MODBUS_INPUT_REGISTER	993	1		u8	0	0	0
Hat eine Phase (EB101)	MODBUS_INPUT_REGISTER	1008	1		u8	0	0	0
Serieller Index (EB101)	MODBUS_INPUT_REGISTER	1009	1		u8	0	0	0
Serieller Index (EB100)	MODBUS_INPUT_REGISTER	1011	1		u8	0	0	0
Alarm inkompatibel (Wärmepumpe)	MODBUS_INPUT_REGISTER	1012	1		u16	0	0	0
Begrenzung GM	MODBUS_HOLDING_REGISTER	18	10	GM	s16	-30000	30000	0
Berechneter Vorlauf Klimatisierungssystem 2	MODBUS_INPUT_REGISTER	1016	10	°C	s16	0	0	0
Berechneter Vorlauf Klimatisierungssystem 1	MODBUS_INPUT_REGISTER	1017	10	°C	s16	0	0	0
Alarm Klasse 1	MODBUS_INPUT_REGISTER	2195	1		u8	0	0	0
Frostschutz Status	MODBUS_INPUT_REGISTER	1018	1		u16	0	0	0
Kühlung Status	MODBUS_INPUT_REGISTER	1019	1		u8	0	0	0
id:1726	MODBUS_HOLDING_REGISTER	2757	1		s16	0	30000	0
Gesamtbetriebszeit Zusatzheizung	MODBUS_INPUT_REGISTER	1025	10	h	s32	0	1000000	0
Leistung interne Zusatzheizung	MODBUS_INPUT_REGISTER	1027	100	kW	s16	0	0	0
id:1757	MODBUS_HOLDING_REGISTER	2758	1		u8	0	1	0
Prio	MODBUS_INPUT_REGISTER	1028	1		u8	0	0	0
Betriebsmodus interne Zusatzheizung	MODBUS_INPUT_REGISTER	1029	1		u8	0	0	0
Betriebsmodus Mischventil Klimatisierungssystem 4	MODBUS_INPUT_REGISTER	1030	1		u8	0	0	0
Betriebsmodus Mischventil Klimatisierungssystem 3	MODBUS_INPUT_REGISTER	1031	1		u8	0	0	0
Betriebsmodus Mischventil Klimatisierungssystem 2	MODBUS_INPUT_REGISTER	1032	1		u8	0	0	0
Betriebsmodus Mischventil Klimatisierungssystem 1	MODBUS_INPUT_REGISTER	1033	1		u8	0	0	0
Betriebsmodus mischventilgesteuerte Zusatzheizung	MODBUS_INPUT_REGISTER	1034	1		u8	0	0	0
Ventilatormodus 1	MODBUS_INPUT_REGISTER	1037	1	%	u8	0	0	0
Aktueller Brauchwassermodus	MODBUS_INPUT_REGISTER	1038	1		s8	0	0	0
Blockierung Kühlung	MODBUS_INPUT_REGISTER	1053	1		u8	0	0	0
Externe Justierung Klimatisierungssystem 4	MODBUS_INPUT_REGISTER	1054	1		u8	0	0	0
Externe Justierung Klimatisierungssystem 3	MODBUS_INPUT_REGISTER	1055	1		u8	0	0	0
Externe Justierung Klimatisierungssystem 2	MODBUS_INPUT_REGISTER	1056	1		u8	0	0	0
Externe Justierung Klimatisierungssystem 1	MODBUS_INPUT_REGISTER	1057	1		u8	0	0	0
Externe Blockierung	MODBUS_INPUT_REGISTER	1058	1		u8	0	0	0
Stufengeregelte Zusatzheizung Blockierung	MODBUS_INPUT_REGISTER	1062	1		u8	0	0	0
